Timepoint,STEM Flg,Applicant Type,Gender,Ethnicity,Headcount
Admitted,Not STEM,Freshman Entrant,All Other Students,Asian/Pacific Islander,"7,391"
Admitted,Not STEM,Freshman Entrant,All Other Students,International,"2,207"
Admitted,Not STEM,Freshman Entrant,All Other Students,Underrepresented Minority,"4,433"
Admitted,Not STEM,Freshman Entrant,All Other Students,White/Other,"9,147"
Admitted,Not STEM,Freshman Entrant,Female,Asian/Pacific Islander,"12,700"
Admitted,Not STEM,Freshman Entrant,Female,International,"3,333"
Admitted,Not STEM,Freshman Entrant,Female,Underrepresented Minority,"8,718"
Admitted,Not STEM,Freshman Entrant,Female,White/Other,"12,933"
Admitted,Not STEM,Transfer Entrant,All Other Students,Asian/Pacific Islander,"1,961"
Admitted,Not STEM,Transfer Entrant,All Other Students,International,"1,090"
Admitted,Not STEM,Transfer Entrant,All Other Students,Underrepresented Minority,"3,221"
Admitted,Not STEM,Transfer Entrant,All Other Students,White/Other,"4,307"
Admitted,Not STEM,Transfer Entrant,Female,Asian/Pacific Islander,"3,021"
Admitted,Not STEM,Transfer Entrant,Female,International,"1,358"
Admitted,Not STEM,Transfer Entrant,Female,Underrepresented Minority,"4,261"
Admitted,Not STEM,Transfer Entrant,Female,White/Other,"5,221"
Admitted,STEM,Freshman Entrant,All Other Students,Asian/Pacific Islander,"18,076"
Admitted,STEM,Freshman Entrant,All Other Students,International,"4,386"
Admitted,STEM,Freshman Entrant,All Other Students,Underrepresented Minority,"5,055"
Admitted,STEM,Freshman Entrant,All Other Students,White/Other,"12,287"
Admitted,STEM,Freshman Entrant,Female,Asian/Pacific Islander,"18,078"
Admitted,STEM,Freshman Entrant,Female,International,"3,385"
Admitted,STEM,Freshman Entrant,Female,Underrepresented Minority,"6,732"
Admitted,STEM,Freshman Entrant,Female,White/Other,"10,168"
Admitted,STEM,Transfer Entrant,All Other Students,Asian/Pacific Islander,"3,020"
Admitted,STEM,Transfer Entrant,All Other Students,International,"1,914"
Admitted,STEM,Transfer Entrant,All Other Students,Underrepresented Minority,"1,739"
Admitted,STEM,Transfer Entrant,All Other Students,White/Other,"3,089"
Admitted,STEM,Transfer Entrant,Female,Asian/Pacific Islander,"2,790"
Admitted,STEM,Transfer Entrant,Female,International,"1,476"
Admitted,STEM,Transfer Entrant,Female,Underrepresented Minority,"1,283"
Admitted,STEM,Transfer Entrant,Female,White/Other,"2,185"
Applied,Not STEM,Freshman Entrant,All Other Students,Asian/Pacific Islander,"33,781"
Applied,Not STEM,Freshman Entrant,All Other Students,International,"20,683"
Applied,Not STEM,Freshman Entrant,All Other Students,Underrepresented Minority,"28,876"
Applied,Not STEM,Freshman Entrant,All Other Students,White/Other,"40,868"
Applied,Not STEM,Freshman Entrant,Female,Asian/Pacific Islander,"52,440"
Applied,Not STEM,Freshman Entrant,Female,International,"26,381"
Applied,Not STEM,Freshman Entrant,Female,Underrepresented Minority,"52,574"
Applied,Not STEM,Freshman Entrant,Female,White/Other,"51,703"
Applied,Not STEM,Transfer Entrant,All Other Students,Asian/Pacific Islander,"8,974"
Applied,Not STEM,Transfer Entrant,All Other Students,International,"5,907"
Applied,Not STEM,Transfer Entrant,All Other Students,Underrepresented Minority,"11,929"
