,Academic Yr,Degree Level Desc,Degree Desc,College/School,Division,Department,Major,MajorShort,STEM Flag,Entry Status Desc,Residency Status Desc,Gender,Ethnicity,Headcount
0,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,CA Resident,Female,Asian/Pacific Islander,26
1,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,CA Resident,Female,Underrepresented Minority,10
2,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,CA Resident,Female,White/Other,11
3,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,CA Resident,Male,Asian/Pacific Islander,12
4,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,CA Resident,Male,Underrepresented Minority,9
5,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,CA Resident,Male,White/Other,15
6,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,International,Female,International,7
7,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,International,Male,International,4
8,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,Out-of-State Domestic,Female,Asian/Pacific Islander,3
9,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,Out-of-State Domestic,Female,Underrepresented Minority,1
10,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,Out-of-State Domestic,Female,White/Other,6
11,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,Out-of-State Domestic,Male,Asian/Pacific Islander,1
12,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,Out-of-State Domestic,Male,Underrepresented Minority,2
13,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Freshman,Out-of-State Domestic,Male,White/Other,2
14,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Other,CA Resident,Female,White/Other,1
15,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Other,International,Female,International,1
16,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Other,Out-of-State Domestic,Female,Underrepresented Minority,1
17,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,CA Resident,Female,Asian/Pacific Islander,8
18,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,CA Resident,Female,Underrepresented Minority,4
19,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,CA Resident,Female,White/Other,8
20,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,CA Resident,Male,Asian/Pacific Islander,9
21,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,CA Resident,Male,Underrepresented Minority,1
22,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,CA Resident,Male,White/Other,7
23,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,International,Female,International,4
24,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,International,Male,International,6
25,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,Out-of-State Domestic,Female,Underrepresented Minority,1
26,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,Out-of-State Domestic,Male,Asian/Pacific Islander,1
27,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,Out-of-State Domestic,Male,Underrepresented Minority,2
28,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Architecture,0,Transfer,Out-of-State Domestic,Male,White/Other,2
29,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,CA Resident,Female,Asian/Pacific Islander,8
30,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,CA Resident,Female,Underrepresented Minority,1
31,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,CA Resident,Female,White/Other,6
32,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,CA Resident,Male,Asian/Pacific Islander,3
33,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,CA Resident,Male,Underrepresented Minority,2
34,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,CA Resident,Male,White/Other,2
35,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Freshman,Out-of-State Domestic,Female,White/Other,1
36,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Transfer,CA Resident,Female,Underrepresented Minority,1
37,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Transfer,CA Resident,Male,White/Other,2
38,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Urban St,0,Transfer,Out-of-State Domestic,Female,Asian/Pacific Islander,1
39,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Landscape Architecture,0,Freshman,CA Resident,Female,White/Other,2
40,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Landscape Architecture,0,Freshman,CA Resident,Male,Asian/Pacific Islander,1
41,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Landscape Architecture,0,Freshman,Out-of-State Domestic,Female,Underrepresented Minority,1
42,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Landscape Architecture,0,Transfer,CA Resident,Male,Asian/Pacific Islander,1
43,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Landscape Architecture,0,Transfer,CA Resident,Male,White/Other,2
44,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,CED Individual Major,CED Individual Major,0,Freshman,CA Resident,Male,Underrepresented Minority,1
45,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,CED Individual Major,CED Individual Major,0,Freshman,CA Resident,Male,White/Other,1
46,2011-12,Bachelor,Bachelor of Arts,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,CED Individual Major,CED Individual Major,0,Freshman,Out-of-State Domestic,Female,White/Other,1
47,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,L&S Chem,1,Freshman,CA Resident,Male,Asian/Pacific Islander,3
48,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,L&S Chem,1,Freshman,International,Female,International,1
49,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,L&S Chem,1,Transfer,CA Resident,Male,Asian/Pacific Islander,1
50,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,L&S Chem,1,Transfer,CA Resident,Male,White/Other,1
51,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,CA Resident,Female,Asian/Pacific Islander,9
52,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,CA Resident,Female,Underrepresented Minority,1
53,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,CA Resident,Female,White/Other,6
54,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,CA Resident,Male,Asian/Pacific Islander,33
55,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,CA Resident,Male,Underrepresented Minority,3
56,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,CA Resident,Male,White/Other,20
57,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,International,Female,International,1
