Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,Unknown
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,Unknown
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,Unknown
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2011-12,White/Other,Male,Unknown
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,Unknown
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,White/Other,Female,Unknown
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Dutch Studies UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,Advanced Standing
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,Unknown
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,Advanced Standing
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Female,Unknown
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,Unknown
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,International,Female,Unknown
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,Advanced Standing
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2011-12,International,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2011-12,International,Female,Advanced Standing
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,Advanced Standing
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,Advanced Standing
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Female,Advanced Standing
Rhetoric UG,Rhetoric,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Male,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,Advanced Standing
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
Native American Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,Advanced Standing
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2011-12,Underrepresented Minority,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,Advanced Standing
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Luso-Brazilian Lang Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,International,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,International,Male,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
