Academic Yr,Degree Level Desc,Degree Desc,Headcount
2011-12,Bachelor,Bachelor of Arts,5573
2011-12,Bachelor,Bachelor of Science,1933
2011-12,Doctoral,Doctor of Education,3
2011-12,Doctoral,Doctor of Philosophy,851
2011-12,Doctoral,Doctor of Public Health,11
2011-12,Doctoral,Joint Doctor of Philosophy,22
2011-12,Doctoral,Juris Scientiae Doctor,5
2011-12,Masters/Professional,Doctor of Optometry,60
2011-12,Masters/Professional,Joint Master of Science,15
2011-12,Masters/Professional,Juris Doctor,312
2011-12,Masters/Professional,Master of Architecture,44
2011-12,Masters/Professional,Master of Arts,315
2011-12,Masters/Professional,Master of Business Admin,546
2011-12,Masters/Professional,Master of City Planning,41
2011-12,Masters/Professional,Master of Engineering,92
2011-12,Masters/Professional,Master of Financial Eng,66
2011-12,Masters/Professional,Master of Fine Arts,6
2011-12,Masters/Professional,Master of Forestry,2
2011-12,Masters/Professional,Master of Info Mgmt & Systems,37
2011-12,Masters/Professional,Master of Journalism,49
2011-12,Masters/Professional,Master of Landscape Arch,23
2011-12,Masters/Professional,Master of Laws,168
2011-12,Masters/Professional,Master of Public Health,136
2011-12,Masters/Professional,Master of Public Policy,76
2011-12,Masters/Professional,Master of Science,445
2011-12,Masters/Professional,Master of Social Welfare,92
2011-12,Masters/Professional,Master of Urban Design,8
2012-13,Bachelor,Bachelor of Arts,5845
2012-13,Bachelor,Bachelor of Science,1918
2012-13,Doctoral,Doctor of Education,5
2012-13,Doctoral,Doctor of Philosophy,893
2012-13,Doctoral,Doctor of Public Health,9
2012-13,Doctoral,Joint Doctor of Philosophy,25
2012-13,Doctoral,Juris Scientiae Doctor,5
2012-13,Masters/Professional,Doctor of Optometry,66
2012-13,Masters/Professional,Joint Master of Science,17
2012-13,Masters/Professional,Juris Doctor,301
2012-13,Masters/Professional,Master of Architecture,58
2012-13,Masters/Professional,Master of Arts,339
2012-13,Masters/Professional,Master of Business Admin,553
2012-13,Masters/Professional,Master of City Planning,39
2012-13,Masters/Professional,Master of Engineering,90
2012-13,Masters/Professional,Master of Financial Eng,67
2012-13,Masters/Professional,Master of Fine Arts,7
2012-13,Masters/Professional,Master of Forestry,2
2012-13,Masters/Professional,Master of Info Mgmt & Systems,40
2012-13,Masters/Professional,Master of Journalism,47
2012-13,Masters/Professional,Master of Landscape Arch,20
2012-13,Masters/Professional,Master of Laws,203
2012-13,Masters/Professional,Master of Public Health,128
2012-13,Masters/Professional,Master of Public Policy,85
2012-13,Masters/Professional,Master of Science,393
2012-13,Masters/Professional,Master of Social Welfare,100
2012-13,Masters/Professional,Master of Urban Design,8
2013-14,Bachelor,Bachelor of Arts,5574
2013-14,Bachelor,Bachelor of Science,1969
2013-14,Doctoral,Doctor of Education,2
2013-14,Doctoral,Doctor of Philosophy,896
2013-14,Doctoral,Doctor of Public Health,8
2013-14,Doctoral,Joint Doctor of Philosophy,24
2013-14,Doctoral,Juris Scientiae Doctor,6
2013-14,Masters/Professional,Doctor of Optometry,64
2013-14,Masters/Professional,Joint Master of Science,18
2013-14,Masters/Professional,Juris Doctor,287
2013-14,Masters/Professional,Master of Architecture,38
2013-14,Masters/Professional,Master of Arts,325
2013-14,Masters/Professional,Master of Business Admin,474
2013-14,Masters/Professional,Master of City Planning,43
2013-14,Masters/Professional,Master of Development Practice,15
2013-14,Masters/Professional,Master of Engineering,120
2013-14,Masters/Professional,Master of Financial Eng,67
2013-14,Masters/Professional,Master of Fine Arts,7
2013-14,Masters/Professional,Master of Forestry,4
2013-14,Masters/Professional,Master of Info Mgmt & Systems,56
2013-14,Masters/Professional,Master of Journalism,54
2013-14,Masters/Professional,Master of Landscape Arch,30
2013-14,Masters/Professional,Master of Laws,204
2013-14,Masters/Professional,Master of Public Health,141
2013-14,Masters/Professional,Master of Public Policy,84
2013-14,Masters/Professional,Master of Science,470
2013-14,Masters/Professional,Master of Social Welfare,96
2013-14,Masters/Professional,Master of Urban Design,7
2014-15,Bachelor,Bachelor of Arts,5685
2014-15,Bachelor,Bachelor of Science,1943
2014-15,Doctoral,Doctor of Education,5
2014-15,Doctoral,Doctor of Philosophy,786
2014-15,Doctoral,Doctor of Public Health,8
2014-15,Doctoral,Joint Doctor of Philosophy,26
2014-15,Doctoral,Juris Scientiae Doctor,1
2014-15,Masters/Professional,Doctor of Optometry,61
2014-15,Masters/Professional,Joint Master of Science,3
2014-15,Masters/Professional,Juris Doctor,278
2014-15,Masters/Professional,Master of Architecture,59
2014-15,Masters/Professional,Master of Arts,260
2014-15,Masters/Professional,Master of Business Admin,564
2014-15,Masters/Professional,Master of City Planning,44
2014-15,Masters/Professional,Master of Development Practice,21
2014-15,Masters/Professional,Master of Engineering,187
2014-15,Masters/Professional,Master of Financial Eng,68
2014-15,Masters/Professional,Master of Fine Arts,6
2014-15,Masters/Professional,Master of Forestry,3
2014-15,Masters/Professional,Master of Info Mgmt & Systems,53
2014-15,Masters/Professional,Master of Journalism,40
2014-15,Masters/Professional,Master of Landscape Arch,27
